Q20051142,Q81753
Q30672311,Q5645
Q30801493,Q1206
Q32127647,Q1194
Q34901019,Q1206
Q30602965,Q1199
Q31321174,Q32036401
Q32251523,Q1197
Q31563180,Q10472
Q31912235,Q10522
Q526430,Q32059840
Q32059840,Q7887
Q30501963,Q93248
Q33377477,Q1200
Q31558995,Q10526
Q32042947,Q3922
Q66759483,Q32265531
Q458283,Q2876
Q31302937,Q585417
Q15058288,Q22873
Q31549641,Q5632
Q31917871,Q690690
Q690690,Q2898
Q32250876,Q635723
Q635723,Q5907
Q32251395,Q980
Q32243887,Q980
Q32214203,Q1197
Q32210541,Q1197
Q30706444,Q8569
Q31888180,Q980
Q89033807,Q10420
Q1433880,Q490521
Q32069342,Q8580
Q30774445,Q10958
Q49097417,Q980
Q32064136,Q549187
Q549187,Q2980
Q32179872,Q647738
Q647738,Q8580
Q31320356,Q10427
Q30668536,Q32726661
Q30700189,Q8590
Q31328750,Q518663
Q518663,Q10516
Q30651796,Q564579
Q31528983,Q585591
Q75699782,Q559913
Q31917221,Q1197
Q33410591,Q1198
Q688223,Q1528282
Q31294981,Q635806
Q33129770,Q1194
Q33381653,Q980
Q30736115,Q1197
Q2474289,Q8517
Q30666378,Q10465
Q1957828,Q635531
Q31555923,Q251136
Q1253874,Q14810
Q25622035,Q676944
Q32065716,Q1208
Q76256289,Q513395
Q23560742,Q32093304
Q1528973,Q624096
Q313186,Q163012
Q565762,Q8552
Q636077,Q32131751
Q32131751,Q8221
Q33377154,Q1206
Q30775414,Q10427
Q31314411,Q980
Q31305052,Q1196
Q1435853,Q10919
Q160777,Q93283
Q167314,Q31975594
Q31551348,Q83218
Q30838397,Q377715
Q32754834,Q5947
Q61995,Q8206
Q32068382,Q1208
Q34853235,Q980
Q2349749,Q16138
Q1532718,Q980
Q49284112,Q636887
Q636887,Q5966
Q31348779,Q8583
Q30815152,Q8596
Q198800,Q8608
Q2179477,Q7861
Q2798923,Q1202
Q566059,Q8606
Q30800319,Q1130
Q31917024,Q7883
Q897529,Q1194
Q706112,Q1205
Q30504177,Q513642
Q33403313,Q1208
Q162089,Q31916839
Q560263,Q32517417
Q1793228,Q1206
Q30766044,Q622576
Q82741,Q32760839
Q30714002,Q290124
Q31297778,Q980
Q30745258,Q1682542
Q699220,Q2898
Q32053204,Q980
Q54189800,Q7926
Q33477150,Q537429
Q537429,Q10401
Q31516806,Q10442
Q32011206,Q1208
Q627666,Q7862
Q34940169,Q1200
Q31538410,Q32079474
Q30739786,Q32184521
Q537756,Q8174
Q32066527,Q10461
Q32282023,Q548955
Q548955,Q2947
Q49287124,Q8569
Q32750847,Q1198
Q821710,Q1206
Q32051731,Q302785
Q32714397,Q985
Q32060190,Q1205
Q33376829,Q1206
Q35385313,Q1197
Q31307226,Q7866
Q30815857,Q2491564
Q32203462,Q32203474
Q32203474,Q6330
Q31517693,Q10402
Q32011006,Q1197
Q89825982,Q6040
Q30802594,Q8593
Q30815406,Q529428
Q49291579,Q681003
Q681003,Q8572
Q32263764,Q637540
Q637540,Q7871
Q32290093,Q1206
Q31309550,Q636072
Q2302930,Q1194
Q31516053,Q32223350
Q32010916,Q1205
Q32053791,Q676906
Q2586721,Q3764
Q30620243,Q563290
Q1106717,Q31934904
Q31290303,Q58572
Q31317766,Q45888
Q31521506,Q10522
Q35276827,Q980
Q56655785,Q10439
Q639887,Q1208
Q26806414,Q1208
Q31310844,Q259444
Q31354460,Q1130
Q30713498,Q5645
Q32062745,Q7166
Q32123568,Q1200
Q62497253,Q32265531
Q32237192,Q1208
Q49288933,Q8574
Q31560000,Q2153346
Q27881518,Q254458
Q2255611,Q10551
Q32068262,Q8575
Q30790444,Q7882
Q31311104,Q508698
Q31926091,Q1194
Q30615235,Q565825
Q832308,Q32628107
Q472949,Q1194
Q502850,Q10454
Q30630993,Q10469
Q32092383,Q32092389
Q30662479,Q10480
Q199248,Q1196
Q31325636,Q7862
Q31919915,Q1198
Q33384806,Q985
Q18283754,Q627082
Q9378490,Q8186
Q819020,Q6064
Q31290893,Q81504
Q555202,Q31917234
Q32069101,Q1197
Q31925315,Q10462
Q572318,Q10469
Q2155793,Q5642
Q31910069,Q8541
Q30798560,Q6696
Q819266,Q32063077
Q1308814,Q161825
Q2308170,Q10530
Q488373,Q8608
Q505817,Q10518
Q30652291,Q647295
Q647295,Q6047
Q32040052,Q632442
Q1521020,Q1202
Q81211,Q33729038
Q30666702,Q690248
Q205163,Q528562
Q30664629,Q569651
Q553808,Q8186
Q446864,Q365
Q176016,Q1196
Q2805737,Q10458
Q669506,Q2898
Q1723253,Q9536
Q521291,Q8214
Q31914181,Q7861
Q33442106,Q692338
Q31914651,Q526337
Q31335891,Q10469
Q31902995,Q985
Q33378180,Q1199
Q508077,Q2980
Q369603,Q32210732
Q31542774,Q57876
Q876689,Q183
Q30732825,Q630067
Q630067,Q8566
Q503975,Q5956
Q1275306,Q985
Q49278404,Q8203
Q315660,Q4195
Q32188105,Q32188122
Q32188122,Q5936
Q31556973,Q10522
Q30806073,Q7861
Q31320188,Q636094
Q268431,Q10489
Q31320903,Q566419
Q31353218,Q32420340
Q567873,Q8608
Q31313815,Q32276176
Q31521956,Q32164688
Q32062560,Q8585
Q49290735,Q646326
Q646326,Q8602
Q32062711,Q7864
Q30769785,Q8174
Q32208345,Q694755
Q33357790,Q980
Q31309295,Q279230
Q60375635,Q503006
Q31518516,Q552554
Q333551,Q7014
Q31356218,Q8608
Q33407190,Q1208
Q30512031,Q10960
Q513443,Q32047493
Q32582377,Q1197
Q32289249,Q81817
Q1136672,Q31969972
Q9362494,Q10432
Q30689395,Q32680380
Q31290871,Q32050684
Q2585747,Q32123053
Q31546413,Q546459
Q33408478,Q1197
Q32203502,Q641808
Q641808,Q8564
Q7053,Q7912
Q31340520,Q1729
Q668585,Q31910788
Q49292853,Q10434
Q574412,Q31875014
Q32063745,Q240887
Q31291450,Q81749
Q438894,Q7871
Q32002895,Q980
Q32292599,Q1197
Q31297883,Q8596
Q322795,Q31954134
Q31342706,Q638318
Q32251794,Q46849
Q33376391,Q1198
Q30694782,Q5645
Q31532131,Q505823
Q31547300,Q10928
Q32014875,Q980
Q32068385,Q1208
Q32127860,Q8177
Q503074,Q10445
Q32220482,Q20295
Q32101458,Q980
Q32511891,Q1198
Q34883959,Q1206
Q32290361,Q985
Q30768264,Q8575
Q2519498,Q10456
Q31325486,Q8601
Q30723214,Q32753336
Q31557971,Q10522
Q30658008,Q1200
Q32060578,Q8580
Q32209512,Q980
Q471827,Q4178
Q30619582,Q624063
Q32084337,Q8579
Q33224875,Q10475
Q648603,Q8564
Q31514353,Q57739
Q19310173,Q584485
Q31296415,Q8569
Q31331274,Q1197
Q1156535,Q1196
Q30648931,Q4068
Q30630545,Q1208
Q565248,Q8552
Q33356137,Q980
Q47482340,Q31883153
Q49283528,Q7866
Q30703538,Q10923
Q879513,Q10431
Q34890226,Q1197
Q30511900,Q10408
Q30666982,Q502504
Q30774189,Q8583
Q873782,Q1198
Q30652442,Q32744154
Q1241324,Q6272
Q641522,Q8574
Q31564296,Q31897214
Q33403055,Q1206
Q32127741,Q1194
Q31537187,Q10423
Q31285343,Q625074
Q1270924,Q1196
Q2569241,Q32201831
Q31289297,Q516707
Q516707,Q6152
Q697392,Q551940
Q31903065,Q985
Q49292146,Q10405
Q519669,Q1194
Q31308290,Q31943588
Q31544369,Q552488
Q30757694,Q8583
Q31526945,Q10424
Q30751986,Q10950
Q31318239,Q7878
Q31290727,Q622111
Q32518515,Q1198
Q31305275,Q504553
Q33386808,Q985
Q31329468,Q14912
Q31317425,Q427360
Q1486467,Q985
Q32051883,Q1197
Q2519984,Q10420
Q30666608,Q690531
Q1648955,Q10482
Q31330094,Q8551
Q503169,Q10410
Q15835594,Q980
Q34934172,Q1198
Q30810385,Q10436
Q32101777,Q1197
Q31544382,Q10526
Q17127925,Q32067884
Q31295971,Q551984
Q31539071,Q1973855
Q35380531,Q1200
Q547116,Q10408
Q31906736,Q1208
Q31953645,Q1198
Q321819,Q32749678
Q638525,Q44500
Q44500,Q10453
Q565116,Q8580
Q32293017,Q539741
Q31308086,Q497060
Q497060,Q2970
Q32129278,Q10453
Q30673011,Q558631
Q33402757,Q980
Q30690359,Q1206
Q32699640,Q1208
Q30628415,Q10530
Q30666612,Q628513
Q31325850,Q32095265
Q1877593,Q34773
Q34773,Q8208
Q1880012,Q1202
Q30715934,Q624187
Q32066176,Q1197
Q31325976,Q31897003
Q31897003,Q6337
Q18625029,Q1197
Q33399099,Q1197
Q564254,Q5952
Q1504459,Q980
Q665660,Q7883
Q31332637,Q1199
Q10756,Q32211638
Q31318448,Q624847
Q574864,Q8575
Q32068600,Q1197
Q32752363,Q1196
Q558671,Q10461
Q30649302,Q31898557
Q32065816,Q1194
Q32068256,Q526741
Q30651630,Q285935
Q315060,Q32121022
Q31328583,Q10491
Q31293912,Q980
Q30755810,Q7858
Q503330,Q10497
Q883473,Q31897121
Q10371788,Q32517689
Q30706227,Q183
Q31528184,Q980
Q545177,Q32596757
Q31352636,Q32741874
Q125435,Q985
Q31304995,Q526197
Q31950778,Q1197
Q31996270,Q2760
Q32124969,Q1197
Q56862953,Q985
Q178365,Q10444
Q30504460,Q8232
Q8232,Q20264
Q30792085,Q5274
Q30772305,Q502504
Q31554527,Q490449
Q31348788,Q243177
Q553988,Q8601
Q49280929,Q437465
Q1746490,Q1202
Q31921772,Q50967
Q31327122,Q1197
Q628632,Q10442
Q32132686,Q636980
Q636980,Q5966
Q32206292,Q57933
Q3857,Q32758817
Q35384045,Q980
Q30685574,Q8593
Q31300547,Q668952
Q32012366,Q1199
Q2520300,Q10518
Q30670662,Q26344
Q2120833,Q1202
Q31084,Q32063161
Q32189746,Q555375
Q555375,Q3000
Q15115070,Q544801
Q544801,Q6165
Q31320627,Q633689
Q9392554,Q8518
Q31526926,Q83218
Q33400801,Q1197
Q32251592,Q8562
Q31323264,Q31897429
Q30665108,Q32058545
Q131615,Q980
Q20198,Q2902
Q30702288,Q3069
Q835695,Q985
Q3567238,Q31897307
Q33514403,Q572427
Q1481874,Q628355
Q32066000,Q649216
Q649216,Q7858
Q30653558,Q505468
Q31292743,Q2491564
Q25158421,Q634423
Q1624508,Q147895
Q30692530,Q8601
Q32056891,Q81999
Q81999,Q8230
Q32054094,Q633555
Q31924341,Q1198
Q505842,Q10401
Q33381724,Q1198
Q32266675,Q1196
Q1550372,Q160758
Q32050349,Q1197
Q30633482,Q301346
Q1472613,Q674640
Q674640,Q8602
Q33458870,Q637967
Q32752558,Q980
Q32501509,Q1206
Q30801678,Q7861
Q33466238,Q7014
Q30610172,Q31897790
Q2151086,Q1199
Q438875,Q697577
Q2168964,Q980
Q32249077,Q706302
Q559177,Q2941
Q33374671,Q1197
Q31324381,Q32268990
Q40594783,Q691316
Q691316,Q2898
Q556408,Q2917
Q31289933,Q538635
Q27308,Q2937
Q31316815,Q10530
Q31322907,Q1729
Q30736980,Q1200
Q32063925,Q20202
Q33414719,Q1197
Q52432701,Q490319
Q35276872,Q980
Q305787,Q1198
Q30707703,Q204576
Q204576,Q8569
Q510982,Q10469
Q2497448,Q1202
Q1221477,Q2834
Q33514323,Q10454
Q33324841,Q10427
Q33513054,Q10408
Q425939,Q7862
Q32060130,Q1197
Q31885825,Q1199
Q517353,Q32508879
Q30691648,Q598058
Q109773,Q183
Q31545078,Q1197
Q34919379,Q1197
Q31337958,Q32764966
Q32764966,Q5963
Q32148259,Q1196
Q31550815,Q10523
Q33385395,Q1197
Q33385854,Q985
Q27998,Q21008
Q315443,Q980
Q32123363,Q10533
Q32751270,Q1199
Q30667263,Q6696
Q82279,Q8230
Q32031536,Q646863
Q1607618,Q635531
Q995621,Q1547870
Q1547870,Q147895
Q31529186,Q183
Q31868054,Q1208
Q31321327,Q8583
Q32188086,Q629263
Q629263,Q8574
Q33224149,Q32054613
Q33397742,Q1206
Q1295001,Q16085
Q31292718,Q5644
Q4897374,Q31924662
Q32042535,Q569685
Q569685,Q7916
Q30745824,Q1197
Q31292286,Q565530
Q818657,Q8602
Q1734638,Q1202
Q314162,Q1197
Q30501508,Q10946
Q981954,Q32386027
Q31297032,Q32751484
Q31338013,Q574356
Q32750196,Q980
Q33224218,Q32751813
Q31345293,Q1197
Q28053518,Q9536
Q1531677,Q1196
Q30704774,Q622085
Q56703159,Q47743
Q30656730,Q546627
Q30758515,Q8596
Q30759030,Q1196
Q160740,Q93248
Q74823503,Q529310
Q32162982,Q71009
Q9378641,Q8528
Q31517499,Q498078
Q31325767,Q565488
Q31295876,Q573603
Q31289758,Q253419
Q31917241,Q1197
Q32741416,Q985
Q32284268,Q8554
Q31305751,Q569625
Q31339436,Q32753806
Q2348674,Q14949
Q1281562,Q183
Q30653058,Q46777
Q1577725,Q502807
Q30748391,Q1205
Q31323654,Q459330
Q1746383,Q93286
Q32258473,Q549124
Q30685074,Q32067991
Q722377,Q530225
Q1220736,Q10417
Q2301953,Q181609
Q30700617,Q10469
Q31316260,Q32017116
Q31901658,Q985
Q32752878,Q1196
Q2520239,Q10482
Q30756016,Q31942767
Q32119975,Q81753
Q30682311,Q10472
Q30668181,Q10427
Q32056472,Q10429
Q696866,Q703023
Q554782,Q7871
Q673176,Q39793
Q1611970,Q504754
Q30694781,Q32285667
Q32228884,Q985
Q34900865,Q980
Q49630621,Q1197
Q32207061,Q1197
Q504417,Q10459
Q1302083,Q7866
Q1761432,Q1194
Q33395084,Q1196
Q30688160,Q32284249
Q21039512,Q539288
Q556622,Q7882
Q658313,Q1198
Q32063967,Q1206
Q49290128,Q630501
Q630501,Q8566
Q31529705,Q262485
Q642402,Q31969545
Q30682413,Q10539
Q30504416,Q558776
Q255489,Q32125052
Q26835936,Q3840
Q2570115,Q253185
Q1518731,Q658603
Q1878035,Q32065289
Q15839631,Q10451
Q1587059,Q11047
Q15122473,Q32752017
Q32752017,Q5931
Q1526063,Q6230
Q189999,Q21590062
Q1430700,Q3989
Q15057332,Q32005501
Q32005501,Q5934
Q1262242,Q7166
Q1343434,Q517260
Q517260,Q10462
Q1229429,Q61724
Q2310447,Q10442
Q1308178,Q31999807
Q1474088,Q59564401
Q1183017,Q504334
Q1384916,Q32259037
Q1270937,Q16032
Q16032,Q6301
Q1977321,Q10950
Q1644384,Q533535
Q1469622,Q6219
Q1313406,Q164458
Q28154561,Q81017
Q81017,Q8520
Q131819,Q32054942
Q22693913,Q502445
Q502445,Q10451
Q1625201,Q225794
Q814053,Q544439
Q2593331,Q559014
Q1920618,Q82724
Q1954640,Q1794
Q445771,Q3971
Q1637595,Q585043
Q1393250,Q264999
Q1385821,Q14895
Q14895,Q6245
Q1258126,Q10919
Q26254960,Q10445
Q1642422,Q3994
Q740363,Q183483
Q759786,Q44500
Q2373129,Q32063123
Q31320109,Q31919979
Q1601287,Q10946
Q1381621,Q5575
Q5575,Q5937
Q1746743,Q32054927
Q18287817,Q32752238
Q1625546,Q182716
Q1921872,Q32750655
Q1529244,Q14876
Q1946909,Q204860
Q204860,Q6264
Q1281544,Q11058
Q20968679,Q10445
Q1458680,Q627838
Q1622300,Q8218
Q1880361,Q2107
Q1741961,Q32038422
Q1803936,Q31987624
Q15849488,Q32101080
Q2556275,Q10451
Q1332110,Q5982
Q2160733,Q20312
Q2045422,Q158408
Q158408,Q6794
Q1469580,Q3898
Q2006319,Q2107
Q612214,Q20349
Q1250687,Q1295
Q15859555,Q32741889
Q32741889,Q8182
Q1734989,Q627420
Q31304563,Q558616
Q2131604,Q538110
Q2011541,Q624835
Q198448,Q32596049
Q29017334,Q5897
Q28054818,Q671946
Q1493834,Q4048
Q1964343,Q10489
Q1627740,Q253185
Q28054850,Q639972
Q2583603,Q32222960
Q32222960,Q8518
Q1376891,Q625904
Q1806516,Q254649
Q254649,Q6287
Q1230371,Q516599
Q2584552,Q488346
Q48558966,Q82279
Q15109998,Q32042679
Q875332,Q33159408
Q885323,Q3138
Q1406787,Q32068281
Q15056397,Q256669
Q923785,Q2871
Q1409056,Q262684
Q2055963,Q20314
Q2010102,Q10444
Q1568383,Q14825
Q1628855,Q11047
Q1867441,Q10929
Q15812392,Q10523
Q1464411,Q253419
Q1430190,Q516599
Q1016391,Q32209290
Q1733918,Q533661
Q857786,Q182857
Q824534,Q31877723
Q1355230,Q535267
Q1272448,Q370571
Q48143053,Q10526
Q809636,Q32276176
Q2007164,Q2107
Q1624101,Q3813
Q1624198,Q2948
Q2015240,Q11114
Q254757,Q278312
Q1157826,Q6068
Q257398,Q2066
Q1578495,Q523709
Q1498790,Q4149
Q1182837,Q32730725
Q17256277,Q81498
Q81498,Q8184
Q1560040,Q32722322
Q1796590,Q32090775
Q32090775,Q6152
Q813667,Q32291049
Q889802,Q31902918
Q911195,Q8575
Q15122322,Q32627939
Q2246629,Q8205
Q20441020,Q552713
Q2017111,Q570057
Q17488048,Q491118
Q1823390,Q32296272
Q1728696,Q32017471
Q1622874,Q11045
Q1417188,Q2107
Q1551822,Q31887930
Q31887930,Q6328
Q1642325,Q550673
Q550673,Q8200
Q34916431,Q1198
Q559986,Q10504
Q1456103,Q625104
Q2584471,Q503273
Q503273,Q10454
Q977550,Q32139010
Q1387423,Q32063875
Q32063875,Q8198
Q1708785,Q253940
Q2564728,Q32510453
Q32510453,Q7862
Q1672274,Q8572
Q1548944,Q32518712
Q2259581,Q11323
Q1369294,Q558776
Q400171,Q5567
Q1501486,Q7025
Q7025,Q6264
Q1371817,Q387858
Q15057207,Q446342
Q1625050,Q2975
Q1279682,Q31869828
Q2082116,Q622102
Q2568732,Q14817
Q1340894,Q16046
Q16046,Q6301
Q2010291,Q499278
Q29878896,Q245542
Q245542,Q6295
Q56024320,Q1718
Q1792906,Q32057258
Q1167014,Q570892
Q1263950,Q253940
Q2565529,Q242458
Q1616292,Q31924019
Q2153859,Q32060341
Q32060341,Q8225
Q2246271,Q622167
Q470930,Q158893
Q3469,Q32051501
Q1797001,Q58002
Q1583779,Q10461
Q2148440,Q1481
Q33402546,Q1197
Q1713428,Q2865
Q820890,Q4086
Q2555608,Q8574
Q1412100,Q503884
Q503884,Q10439
Q15132786,Q3003
Q1494531,Q245292
Q722540,Q32181423
Q4168865,Q32414237
Q1347623,Q3939
Q1469673,Q8230
Q1300846,Q11102
Q15123832,Q10456
Q1957923,Q32740496
Q1361727,Q11058
Q807849,Q31897490
Q2554026,Q254458
Q1271433,Q32513582
Q1301978,Q202377
Q32062447,Q1197
Q1345232,Q14817
Q1551814,Q8575
Q1489732,Q557658
Q557658,Q8228
Q2233764,Q204966
Q671599,Q458432
Q2554963,Q522469
Q1987707,Q1468
Q2256833,Q16130
Q1631808,Q569664
Q33483796,Q32063123
Q25158396,Q10451
Q23921691,Q204860
Q2246634,Q32242857
Q1409778,Q559624
Q559624,Q5934
Q2037453,Q14868
Q2079779,Q157200
Q1315831,Q6295
Q334490,Q622463
Q33133661,Q10421
Q18286516,Q3117
Q865518,Q11052
Q11052,Q6298
Q1980035,Q11045
Q30620174,Q502370
Q1659265,Q182857
Q15109821,Q120357
Q866672,Q567565
Q2596607,Q12434
Q20948181,Q515527
Q48236268,Q83082
Q83082,Q8230
Q1973701,Q32055584
Q2493666,Q8557
Q1273855,Q506088
Q2701387,Q10420
Q1220159,Q32414492
Q21013609,Q32054942
Q1318117,Q163570
Q163570,Q6249
Q23560601,Q671322
Q1322440,Q492366
Q1618782,Q242810
Q1437221,Q31896551
Q15825514,Q20312
Q1419125,Q164458
Q18608587,Q253498
Q253498,Q6287
Q1959109,Q2742
Q2041586,Q255416
Q255416,Q6253
Q31315959,Q32750241
Q2521137,Q81097
Q25158481,Q519974
Q1325575,Q32041909
Q32041909,Q2917
Q1139069,Q689809
Q41747920,Q574455
Q1872703,Q12062
Q866618,Q32440809
Q1262574,Q538635
Q694382,Q163966
Q2340858,Q32178835
Q1431073,Q10458
Q1878028,Q32753108
Q2559982,Q8517
Q20180103,Q32162582
Q1801952,Q498078
Q2168642,Q7865
Q894514,Q16107
Q28109555,Q58456
Q2120779,Q32750655
Q2339759,Q562147
Q1817673,Q7866
Q1360827,Q504762
Q29912890,Q574356
Q1495095,Q32638348
Q2557412,Q181673
Q1825494,Q649138
Q615951,Q14888
Q32234202,Q705725
Q705725,Q10444
Q1879111,Q2112
Q442473,Q3822
Q2247943,Q33729394
Q2238418,Q238951
Q15127376,Q31949594
Q31949594,Q6301
Q15432332,Q32182624
Q1883294,Q558498
Q850108,Q11040
Q32051156,Q985
Q2253044,Q7025
Q19862644,Q486603
Q486603,Q8564
Q1491241,Q629682
Q1184710,Q3978
Q297619,Q11039
Q1594241,Q32749861
Q2799994,Q10408
Q187469,Q32420275
Q32420275,Q8525
Q1795647,Q534766
Q1824339,Q589559
Q589559,Q6156
Q2341466,Q32751440
Q32751440,Q7883
Q32055479,Q31998325
Q1377603,Q242514
Q1623845,Q968
Q2543195,Q10950
Q1372294,Q11050
Q1352064,Q1130
Q2478560,Q3902
Q1777385,Q312658
Q1989170,Q658603
Q1166435,Q31944710
Q15107798,Q561223
Q28823622,Q58456
Q2244520,Q158095
Q2081775,Q10449
Q993900,Q529250
Q529250,Q10475
Q485684,Q3917
Q1743772,Q522469
Q2259127,Q241358
Q1552399,Q572013
Q1982000,Q32753285
Q48219,Q3922
Q1020382,Q32414492
Q817182,Q570334
Q22694545,Q5632
Q20180012,Q544761
Q1558834,Q387411
Q387411,Q10442
Q15944845,Q16018
Q814017,Q31976906
Q24272580,Q32064482
Q32064482,Q8191
Q21150653,Q10500
Q1773509,Q5642
Q2564811,Q32726661
Q48922890,Q521291
Q3681020,Q8720
Q1613848,Q504334
Q47190461,Q14946
Q15126199,Q10887
Q1411657,Q253419
Q1621294,Q32728777
Q1340389,Q10929
Q2552481,Q32276176
Q1917394,Q243474
Q243474,Q6246
Q232980,Q32092337
Q1982004,Q31898557
Q1157455,Q4086
Q1292905,Q377277
Q377277,Q3011
Q462979,Q10418
Q2308349,Q502991
Q1265578,Q32729223
Q16820,Q158893
Q2559376,Q8585
Q1978035,Q7879
Q1483781,Q5398
Q2064119,Q31954870
Q15110317,Q372621
Q196997,Q3750
Q1416551,Q225334
Q32244255,Q32063123
Q2229884,Q565528
Q900510,Q10445
Q1794334,Q11043
Q1793898,Q242514
Q14531646,Q3874
Q66898029,Q1205
Q810909,Q16043
Q1020173,Q32063119
Q1982552,Q10453
Q1374403,Q14903
Q1773946,Q32017434
Q1673771,Q10427
Q2497236,Q10417
Q24261814,Q165958
Q1353579,Q204860
Q1716267,Q8245
Q1493739,Q2758
Q15789414,Q544699
Q892056,Q6022
Q1594579,Q573514
Q573514,Q7902
Q2163144,Q7865
Q330851,Q31903512
Q31903512,Q7866
Q32210493,Q1197
Q742001,Q10921
Q17322409,Q583149
Q583149,Q6181
Q1623206,Q10544
Q162664,Q6156
Q51607015,Q10541
Q2099224,Q10455
Q1633730,Q254649
Q759841,Q44500
Q1496158,Q253185
Q1221275,Q4181
Q2334584,Q183449
Q183449,Q6224
Q1299573,Q10421
Q2136152,Q32627939
Q15056289,Q31922943
Q1209291,Q31920486
Q1380630,Q182716
Q355595,Q31885009
Q31885009,Q6301
Q22094834,Q32177462
Q1482963,Q550661
Q6366,Q32017648
Q15806068,Q560203
Q20820348,Q504762
Q2009244,Q83205
Q83205,Q8528
Q1614728,Q32296272
Q31523320,Q980
Q2009825,Q32759636
Q1242115,Q6842
Q26836904,Q10421
Q2530062,Q33728143
Q29914158,Q32757255
Q2584475,Q516707
Q893913,Q241655
Q879131,Q538110
Q535045,Q32147729
Q23065409,Q10420
Q2275027,Q502610
Q18029486,Q10408
Q1911210,Q31984688
Q29017329,Q10449
Q41627026,Q61912
Q2252499,Q538110
Q996908,Q31999807
Q437203,Q241866
Q1897694,Q624862
Q1803945,Q558593
Q23561125,Q10420
Q1615623,Q10893
Q1220234,Q32440809
Q2263743,Q32121022
Q1293349,Q2975
Q2569504,Q503048
Q503048,Q10439
Q1808488,Q32092337
Q1442978,Q14954
Q25158541,Q10491
Q2131043,Q254649
Q1892378,Q81999
Q1435196,Q634208
Q1942893,Q165160
Q1290848,Q11045
Q2302963,Q269617
Q1921007,Q11114
Q2597093,Q7166
Q204756,Q7084
Q3181947,Q10477
Q48879889,Q3917
Q1325257,Q504762
Q1741053,Q4195
Q1394169,Q32751458
Q2064381,Q32092337
Q1540690,Q11049
Q1686589,Q32218006
Q32218006,Q5963
Q47520112,Q32751346
Q2719389,Q32061452
Q1675296,Q657288
Q23787772,Q671375
Q671375,Q2876
Q16874533,Q10439
Q1615089,Q16042
Q21282291,Q32760937
Q47501708,Q31875612
Q31875612,Q8206
Q21601360,Q10451
Q1287128,Q31981733
Q1605188,Q32067967
Q1589390,Q3004
Q1979411,Q558612
Q2288777,Q491743
Q491743,Q10454
Q28528759,Q10439
Q1609187,Q32730725
Q1015097,Q622102
Q25158484,Q10447
Q1897988,Q33728143
Q19371152,Q14833
Q1533738,Q16107
Q1419738,Q93210
Q1604848,Q6852
Q17321993,Q10445
Q15840842,Q46811
Q1924088,Q61717
Q32063043,Q6053
Q814096,Q940691
Q1486284,Q31898557
Q2252985,Q529745
Q529745,Q10451
Q1410791,Q538940
Q538940,Q7888
Q1511630,Q560951
Q1624177,Q32731298
Q32731298,Q6047
Q1532709,Q182938
Q182938,Q6239
Q1419106,Q624862
Q1376600,Q5645
Q1019946,Q6696
Q162757,Q157462
Q29863179,Q50928
Q1489375,Q31910788
Q1746369,Q31909610
Q31909610,Q8533
Q33379099,Q985
Q21039473,Q520054
Q2565865,Q252466
Q865844,Q683790
Q1549750,Q8178
Q19288259,Q502610
Q1401483,Q630826
Q31986222,Q10539
Q2244825,Q31918146
Q989752,Q504022
Q504022,Q6793
Q905591,Q12449
Q12449,Q6287
Q1557232,Q32028142
Q1950086,Q32223339
Q545988,Q58002
Q14083263,Q32753108
Q2576390,Q534259
Q31302798,Q3971
Q2009731,Q537997
Q20164734,Q10440
Q48703712,Q535646
Q535646,Q8221
Q1569914,Q183483
Q2009878,Q11050
Q17322264,Q556312
Q743975,Q32753279
Q1250638,Q1295
Q1943728,Q10449
Q2171792,Q32661814
Q1558806,Q571922
Q1534718,Q32259037
Q723699,Q242458
Q1668591,Q32596757
Q29019818,Q10439
Q1980829,Q32067959
Q32067959,Q2838
Q1614267,Q7507
Q7507,Q6295
Q888417,Q561014
Q1533286,Q4048
Q26974742,Q10442
Q2605532,Q581972
Q581972,Q6119
Q1906777,Q680735
Q680735,Q5915
Q1493006,Q8517
Q1988503,Q32220464
Q2035575,Q525889
Q1880472,Q6111
Q6111,Q5965
Q15853783,Q32730731
Q2241521,Q1718
Q1298374,Q31987228
Q17280860,Q446857
Q1355325,Q649216
Q15845264,Q10526
Q1623761,Q585455
Q32512643,Q1202
Q876142,Q32751737
Q1663516,Q602629
Q1957474,Q32753279
Q1983828,Q31969545
Q2153252,Q629682
Q23465180,Q10421
Q1302840,Q488314
Q1377951,Q11050
Q2132373,Q1718
Q1417160,Q10483
Q1342203,Q8230
Q1261691,Q31910976
Q33408101,Q980
Q2209342,Q556026
Q556026,Q6152
Q1233238,Q33728586
Q33728586,Q7887
Q18632826,Q636036
Q21281310,Q10412
Q1796689,Q553221
Q1591078,Q488346
Q1719493,Q3167
Q15111809,Q33159408
Q20558,Q20744
Q20744,Q2937
Q1808638,Q32018022
Q1823328,Q57842
Q1524534,Q242880
Q1388675,Q32228600
Q2118053,Q33723682
Q1412529,Q11039
Q1805116,Q491743
Q1396963,Q7166
Q1651865,Q450697
Q15051239,Q504553
Q1333858,Q10944
Q1796507,Q32753768
Q437546,Q10423
Q1259084,Q11052
Q138888,Q2978
Q1111505,Q32194890
Q2051355,Q32066622
Q1020540,Q32222960
Q411518,Q31874375
Q31874375,Q8208
